Course Code,Credit,Section,Faculty,Days,Time,Room,Seat
ACT201,3.0,1,ARM,MW,04:20 PM - 05:50 PM,NAC202,39
ACT201,3.0,2,ARM,ST,02:40 PM - 04:10 PM,NAC309,37
ACT201,3.0,3,ARM,ST,11:20 AM - 12:50 PM,NAC307,36
ACT201,3.0,4,Asy,MW,11:20 AM - 12:50 PM,NAC307,33
ACT201,3.0,5,Asy,MW,09:40 AM - 11:10 AM,NAC206,34
ACT201,3.0,6,AZR,ST,08:00 AM - 09:30 AM,NAC309,40
ACT201,3.0,7,FI,MW,01:00 PM - 02:30 PM,NAC206,40
ACT201,3.0,8,FI,MW,02:40 PM - 04:10 PM,NAC307,39
ACT201,3.0,9,HAS,MW,04:20 PM - 05:50 PM,NAC309,39
ACT201,3.0,10,IAC,ST,08:00 AM - 09:30 AM,NAC310,40
ACT201,3.0,11,IAC,ST,11:20 AM - 12:50 PM,NAC410,38
ACT201,3.0,12,KHM,RA,01:00 PM - 02:30 PM,NAC310,40
ACT201,3.0,13,KSR,RA,01:00 PM - 02:30 PM,NAC410,39
ACT201,3.0,14,KSR,RA,04:20 PM - 05:50 PM,NAC310,40
ACT201,3.0,15,MdM,ST,01:00 PM - 02:30 PM,NAC508,38
ACT201,3.0,16,MdM,ST,09:40 AM - 11:10 AM,NAC307,33
ACT201,3.0,17,MhMR,RA,08:00 AM - 09:30 AM,NAC309,39
ACT201,3.0,18,MIBS,ST,11:20 AM - 12:50 PM,NAC411,37
ACT201,3.0,19,MIBS,ST,09:40 AM - 11:10 AM,NAC512A,40
ACT201,3.0,20,MOB,RA,09:40 AM - 11:10 AM,NAC510,38
ACT201,3.0,21,MOB,RA,11:20 AM - 12:50 PM,NAC410,39
ACT201,3.0,22,MSKn,RA,01:00 PM - 02:30 PM,NAC411,39
ACT201,3.0,23,MSKn,RA,02:40 PM - 04:10 PM,NAC410,39
ACT201,3.0,24,NNh,ST,09:40 AM - 11:10 AM,NAC310,40
ACT201,3.0,25,NNh,ST,11:20 AM - 12:50 PM,NAC508,38
ACT201,3.0,26,SHA1,ST,01:00 PM - 02:30 PM,NAC309,40
ACT201,3.0,27,SHA1,ST,02:40 PM - 04:10 PM,NAC620,39
ACT201,3.0,28,TsA,MW,08:00 AM - 09:30 AM,NAC508,40
ACT201,3.0,29,TsA,ST,11:20 AM - 12:50 PM,NAC603,40
ACT201,3.0,30,Aay,RA,06:00 PM - 07:30 PM,NAC206,39
ACT201,3.0,31,Ahu,RA,01:00 PM - 02:30 PM,NAC309,39
ACT201,3.0,32,TBA,RA,11:20 AM - 12:50 PM,NAC510,40
ACT202,3.0,1,Ahu,RA,09:40 AM - 11:10 AM,NAC410,40
ACT202,3.0,2,Ahu,RA,02:40 PM - 04:10 PM,NAC309,40
ACT202,3.0,3,AWKm,ST,04:20 PM - 05:50 PM,NAC310,40
ACT202,3.0,4,FI,ST,01:00 PM - 02:30 PM,NAC410,40
ACT202,3.0,5,FI,ST,02:40 PM - 04:10 PM,NAC410,40
ACT202,3.0,6,IAC,MW,01:00 PM - 02:30 PM,NAC309,40
ACT202,3.0,7,IAC,MW,08:00 AM - 09:30 AM,NAC309,40
ACT202,3.0,8,KHM,RA,02:40 PM - 04:10 PM,NAC310,40
ACT202,3.0,9,KSR,RA,11:20 AM - 12:50 PM,NAC310,40
ACT202,3.0,10,MGR,MW,08:00 AM - 09:30 AM,NAC310,40
ACT202,3.0,11,MIBS,MW,09:40 AM - 11:10 AM,NAC310,40
ACT202,3.0,12,MTMD,MW,04:20 PM - 05:50 PM,NAC993,40
ACT202,3.0,13,MTMD,MW,06:00 PM - 07:30 PM,NAC310,40
ACT202,3.0,14,Rby,ST,02:40 PM - 04:10 PM,NAC603,40
ACT202,3.0,15,RMH1,MW,08:00 AM - 09:30 AM,NAC406,40
ACT202,3.0,16,RQR,RA,09:40 AM - 11:10 AM,NAC991,40
ACT202,3.0,17,SHA1,MW,01:00 PM - 02:30 PM,NAC508,40
ACT202,3.0,18,SHA1,MW,04:20 PM - 05:50 PM,NAC603,40
ACT202,3.0,19,Sys,MW,08:00 AM - 09:30 AM,NAC507,40
ACT202,3.0,20,Sys,MW,11:20 AM - 12:50 PM,NAC512A,40
ACT202,3.0,21,TsA,ST,08:00 AM - 09:30 AM,NAC510,40
ACT202,3.0,22,TsA,ST,09:40 AM - 11:10 AM,NAC510,40
ACT310,3.0,1,MGR,ST,09:40 AM - 11:10 AM,NAC309,40
ACT310,3.0,2,Rby,MW,09:40 AM - 11:10 AM,NAC411,40
ACT310,3.0,3,Rby,MW,01:00 PM - 02:30 PM,NAC411,40
ACT320,3.0,1,MGR,MW,01:00 PM - 02:30 PM,NAC310,40
ACT320,3.0,2,RMH1,ST,08:00 AM - 09:30 AM,NAC410,40
ACT320,3.0,3,RMH1,ST,01:00 PM - 02:30 PM,NAC512A,40
ACT360,3.0,1,MIBS,MW,01:00 PM - 02:30 PM,NAC410,40
ACT360,3.0,2,Rby,ST,01:00 PM - 02:30 PM,NAC510,40
ACT370,3.0,1,Ahu,ST,02:40 PM - 04:10 PM,NAC206,40
ACT370,3.0,2,RMH1,MW,11:20 AM - 12:50 PM,NAC510,40
ACT380,3.0,1,FJM,MW,02:40 PM - 04:10 PM,NAC512A,40
ACT410,3.0,1,RMH1,ST,09:40 AM - 11:10 AM,NAC410,40
ACT430,3.0,1,MGR,MW,09:40 AM - 11:10 AM,NAC309,40
ACT460,3.0,1,MGR,ST,08:00 AM - 09:30 AM,NAC406,40
AMCS501,3.0,1,MSHS,M,07:00 PM - 10:10 PM,SAC315,30
AMCS504,3.0,1,PNG,R,07:00 PM - 10:10 PM,SAC315,29
AMCS506,3.0,1,MLA,S,07:00 PM - 10:10 PM,SAC315,30
AMCS507,3.0,1,ALQ,T,07:00 PM - 10:10 PM,SAC315,30
AMCS510/MAT483,3.0,1,MTH,MW,11:20 AM - 12:50 PM,SAC401,30
AMCS511/MAT485,3.0,1,HAr,ST,04:20 PM - 05:50 PM,SAC208,30
ANT101,3.0,1,MTE,ST,09:40 AM - 11:10 AM,NAC304,22
ANT101,3.0,2,BSq,ST,04:20 PM - 05:50 PM,NAC1078,34
ANT101,3.0,3,RJS,RA,09:40 AM - 11:10 AM,NAC303,33
ANT101,3.0,4,RJS,RA,01:00 PM - 02:30 PM,NAC517,67
ANT101,3.0,5,MTE,ST,04:20 PM - 05:50 PM,NAC311,70
ANT101,3.0,7,NJE,ST,08:00 AM - 09:30 AM,NAC314,35
ANT101,3.0,8,NJE,ST,04:20 PM - 05:50 PM,NAC303,35
ANT101,3.0,9,NJE,RA,08:00 AM - 09:30 AM,NAC303,35
ANT101,3.0,10,TAE,MW,04:20 PM - 05:50 PM,NAC601,31
ANT101,3.0,11,TAE,ST,01:00 PM - 02:30 PM,NAC1080,39
ANT101,3.0,12,TAE,ST,04:20 PM - 05:50 PM,NAC501,40
