Course Code,Credit,Section,Faculty,Days,Time,Room,Seat
ACT201,3.0,1,AhU,RA,11:20 AM - 12:50 PM,ACT201,40
ACT201,3.0,10,IAC,ST,09:40 AM - 11:10 AM,ACT201,40
ACT201,3.0,11,MdM,ST,11:20 AM - 12:50 PM,ACT201,40
ACT201,3.0,12,MIBS,ST,08:00 AM - 09:30 AM,ACT201,40
ACT201,3.0,13,MN,MW,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,14,MN,MW,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,15,MN,ST,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,16,MN,ST,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,17,NNh,MW,09:40 AM - 11:10 AM,ACT201,40
ACT201,3.0,18,NNh,MW,11:20 AM - 12:50 PM,ACT201,40
ACT201,3.0,19,,ST,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,2,ARm,ST,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,20,TsA,MW,08:00 AM - 09:30 AM,ACT201,40
ACT201,3.0,21,TBA,MW,06:00 PM - 07:30 PM,ACT201,40
ACT201,3.0,22,TBA,ST,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,23,TBA,ST,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,24,TBA,RA,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,25,TBA,RA,09:40 AM - 11:10 AM,ACT201,40
ACT201,3.0,26,TBA,RA,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,27,TBA,MW,04:20 PM - 05:50 PM,ACT201,0
ACT201,3.0,28,TBA,RA,09:40 AM - 11:10 AM,ACT201,0
ACT201,3.0,29,TBA,MW,04:20 PM - 05:50 PM,ACT201,0
ACT201,3.0,3,ARm,ST,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,30,TBA,ST,04:20 PM - 05:50 PM,ACT201,0
ACT201,3.0,4,Asy,MW,09:40 AM - 11:10 AM,ACT201,40
ACT201,3.0,5,Asy,MW,11:20 AM - 12:50 PM,ACT201,40
ACT201,3.0,6,AWKm,RA,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,7,FI,MW,01:00 PM - 02:30 PM,ACT201,40
ACT201,3.0,8,FI,MW,02:40 PM - 04:10 PM,ACT201,40
ACT201,3.0,9,HAS,ST,04:20 PM - 05:50 PM,ACT201,40
ACT202,3.0,1,FI,ST,01:00 PM - 02:30 PM,ACT202,40
ACT202,3.0,10,,ST,08:00 AM - 09:30 AM,ACT202,40
ACT202,3.0,11,,MW,01:00 PM - 02:30 PM,ACT202,40
ACT202,3.0,12,,MW,02:40 PM - 04:10 PM,ACT202,40
ACT202,3.0,13,Sys,MW,11:20 AM - 12:50 PM,ACT202,40
ACT202,3.0,14,TsA,ST,08:00 AM - 09:30 AM,ACT202,40
ACT202,3.0,15,TsA,ST,09:40 AM - 11:10 AM,ACT202,40
ACT202,3.0,16,TBA,RA,08:00 AM - 09:30 AM,ACT202,40
ACT202,3.0,17,TBA,RA,01:00 PM - 02:30 PM,ACT202,40
ACT202,3.0,18,TBA,RA,02:40 PM - 04:10 PM,ACT202,40
ACT202,3.0,19,TBA,RA,02:40 PM - 04:10 PM,ACT202,40
ACT202,3.0,2,FI,ST,02:40 PM - 04:10 PM,ACT202,40
