Course Code,Credit,Section,Faculty,Days,Time,Room,Seat
ANT101,3.0,4,SRFz,ST,09:40 AM - 11:10 AM,NAC303,40
ANT101,3.0,7,MTE,MW,01:00 PM - 02:30 PM,NAC311,80
ARC111,4.5,1,SQR,STR,09:40 AM - 12:50 PM,OAT803,15
ARC111,4.5,3,ENM,STR,09:40 AM - 12:50 PM,OAT803_V1,15
ARC112,4.5,1,AKD1,STR,09:40 AM - 12:50 PM,OAT1002,15
ARC112,4.5,3,NSDI,STR,09:40 AM - 12:50 PM,LIB1002,15
ARC121,3.0,1,ASAA,MW,09:40 AM - 12:50 PM,OAT803,15
ARC121,3.0,3,TBA,MW,09:40 AM - 12:50 PM,OAT803_V1,15
ARC122,3.0,1,SIU,MW,09:40 AM - 12:50 PM,OAT1002,15
ARC122,3.0,3,TBA,MW,09:40 AM - 12:50 PM,LIB1002,15
ARC131,3.0,1,SIK3,ST,08:00 AM - 09:30 AM,SAC201,35
ARC131,3.0,3,AKD1,ST,02:40 PM - 04:10 PM,NAC413,35
ARC133,1.5,1,RMY,W,08:00 AM - 09:30 AM,LIB907,35
ARC200,1.0,1,MUN,M,04:20 PM - 06:20 PM,LIB908,15
ARC213,4.5,2,AHS1,STR,09:40 AM - 12:50 PM,,15
ARC213,4.5,4,RTS,STR,02:40 PM - 05:50 PM,LIB1002_V,15
ARC214,4.5,2,TBA,STR,09:40 AM - 12:50 PM,LIB901_V,15
ARC215,4.5,2,RTS,STR,09:40 AM - 12:50 PM,LIB904_V,15
ARC242,3.0,1,SIK3,ST,02:40 PM - 04:10 PM,NAC508,35
ARC261,3.0,1,SIU,ST,01:00 PM - 02:30 PM,TBA_V,35
ARC263,3.0,1,MFN,ST,01:00 PM - 02:30 PM,TBA_v2,35
ARC271,3.0,1,AKD1,MW,02:40 PM - 04:10 PM,SAC801A,35
ARC272,3.0,1,MUN,MW,02:40 PM - 04:10 PM,LIB907,35
ARC273,1.0,2,NTL,M,11:40 AM - 01:40 AM,LIB1002_V,15
ARC282,2.0,1,TBA,M,02:40 PM - 05:40 PM,NAC413,35
ARC293,3.0,1,ASAA,ST,02:40 PM - 05:50 PM,LIB906,35
ARC317,6.0,1,SSIM,STWR,09:40 AM - 12:50 PM,LIB902,15
ARC318,6.0,1,MUN,STWR,09:40 AM - 12:50 PM,LAB2,15
ARC324,3.0,1,SNF,ST,01:00 PM - 04:10 PM,LIB1002,15
ARC334,1.5,1,AHS1,W,08:00 AM - 09:30 AM,SAC309,35
ARC344,2.0,1,SSIM,ST,08:00 AM - 09:30 AM,LIB908,35
ARC384,3.0,1,TMY,ST,02:40 PM - 04:10 PM,LAB1,35
ARC418,6.0,1,NTL,STWR,09:40 AM - 12:50 PM,LIB905,15
ARC437,1.5,1,MUN,R,08:00 AM - 09:30 AM,LIB907,35
ARC453,3.0,1,NAW,ST,08:00 AM - 09:30 AM,LIB907,35
ARC474,3.0,1,MFN,ST,08:00 AM - 09:30 AM,SAC801A,35
ARC500,1.0,1,MFN,R,01:00 PM - 02:30 PM,TBA_v2,30
ARC510,4.5,2,RQH,STR,09:40 AM - 12:50 PM,LIB903_V,15
ARC519,4.5,2,SIK3,STR,09:40 AM - 12:50 PM,TBA_v2,15
ARC576,3.0,1,ASAA,ST,08:00 AM - 09:30 AM,NAC993,35
ARC598,1.5,1,SSIM,R,08:00 AM - 09:30 AM,OAT901,30
BBT203,3.0,3,ESD,ST,01:00 PM - 02:30 PM,LIB601,40
BBT221,3.0,4,PYN,ST,04:20 PM - 05:50 PM,SAC402,40
BBT221,3.0,6,TSHQ,RA,02:40 PM - 04:10 PM,SAC403,40
BBT312,3.0,1,MSH3,ST,08:00 AM - 09:30 AM,SAC404,40
BBT312,3.0,3,MSH3,MW,11:20 AM - 12:50 PM,SAC403,40
BBT312L,1.0,1,MAKN,M,02:40 PM - 05:40 PM,SAC412,20
BBT312L,1.0,3,MAKN,T,11:20 AM - 02:20 PM,SAC412,20
BBT312L,1.0,5,MAKN,W,08:00 AM - 11:00 AM,SAC412,20
BBT314,3.0,1,KNH,ST,11:20 AM - 12:50 PM,SAC404,40
BBT314,3.0,3,OAH,MW,01:00 PM - 02:30 PM,SAC402,40
BBT314L,1.0,1,MAKN,T,08:00 AM - 11:00 AM,SAC414,20
